Datetimetry,Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
2022-6-17 08,SUPPORT_193,6/17/2022 8:00,164.683,164.931,164.628,164.676,6288,164.1042
2022-6-17 09,SUPPORT_193,6/17/2022 9:00,164.673,164.935,164.089,164.713,11651,164.2541
2022-6-17 17,SUPPORT_194,6/17/2022 17:00,164.851,164.948,164.474,164.807,13568,165.1515
2022-6-17 18,SUPPORT_194,6/17/2022 18:00,164.808,165.275,164.708,164.894,10801,165.1733
2022-6-20 04,SUPPORT_195,6/20/2022 4:00,165.208,165.334,164.554,164.586,8850,164.9506
2022-6-20 05,SUPPORT_195,6/20/2022 5:00,164.592,164.876,164.462,164.779,8813,164.9583
2022-6-20 10,SUPPORT_196,6/20/2022 10:00,164.985,165.124,164.482,164.626,10465,165.0476
2022-6-20 11,SUPPORT_196,6/20/2022 11:00,164.626,165.035,164.61,165.019,7626,165.0222
2022-6-20 16,SUPPORT_197,6/20/2022 16:00,165.468,165.468,165.069,165.236,7785,165.1512
2022-6-20 17,SUPPORT_197,6/20/2022 17:00,165.236,165.545,165.073,165.359,6407,165.176
2022-6-20 20,SUPPORT_198,6/20/2022 20:00,165.496,165.51,165.307,165.316,1116,165.3023
2022-6-20 21,SUPPORT_198,6/20/2022 21:00,165.318,165.4,165.25,165.379,1179,165.3383
2022-6-20 23,SUPPORT_199,6/20/2022 23:00,165.511,165.557,165.392,165.45,2174,165.405
2022-6-21 00,SUPPORT_199,6/21/2022 0:00,165.383,165.449,165.307,165.421,482,165.4006
2022-6-21 02,SUPPORT_200,6/21/2022 2:00,165.554,165.623,165.417,165.462,3675,165.4324
2022-6-21 03,SUPPORT_200,6/21/2022 3:00,165.463,165.788,165.332,165.754,6883,165.4719
2022-6-21 08,SUPPORT_201,6/21/2022 8:00,165.714,165.797,165.477,165.57,4134,165.6176
2022-6-21 09,SUPPORT_201,6/21/2022 9:00,165.569,165.95,165.396,165.915,5733,165.6641
2022-6-22 05,SUPPORT_202,6/22/2022 5:00,166.703,166.885,166.567,166.605,5618,167.3179
2022-6-22 06,SUPPORT_202,6/22/2022 6:00,166.605,166.778,166.488,166.759,5290,167.2518
2022-6-22 10,SUPPORT_203,6/22/2022 10:00,166.868,166.872,165.76,166.146,10649,166.8221
2022-6-22 11,SUPPORT_203,6/22/2022 11:00,166.145,166.472,165.946,166.467,8397,166.7103
2022-6-22 15,SUPPORT_204,6/22/2022 15:00,166.47,166.659,166.253,166.392,9644,166.579
2022-6-22 16,SUPPORT_204,6/22/2022 16:00,166.392,167.017,166.385,166.682,12460,166.5713
2022-6-23 05,SUPPORT_205,6/23/2022 5:00,166.201,166.323,165.633,165.832,8812,166.766
2022-6-23 06,SUPPORT_205,6/23/2022 6:00,165.831,166.112,165.786,165.892,6204,166.6419
2022-6-23 10,SUPPORT_206,6/23/2022 10:00,166.248,166.291,164.808,164.812,11566,166.1544
2022-6-23 11,SUPPORT_206,6/23/2022 11:00,164.812,165.362,164.802,165.218,10500,165.9822
2022-6-23 16,SUPPORT_207,6/23/2022 16:00,165.234,165.455,164.739,165.067,13054,165.4915
2022-6-23 17,SUPPORT_207,6/23/2022 17:00,165.064,165.271,164.888,165.061,12411,165.3999
