Date,Time,Open,High,Low,Close,Volume
2024.02.19,6:00:00,189.092,189.269,189.081,189.258,5373
2024.02.19,7:00:00,189.258,189.312,189.212,189.283,5531
2024.02.19,8:00:00,189.284,189.331,189.232,189.324,5462
2024.02.19,9:00:00,189.324,189.368,189.239,189.261,4459
2024.02.19,10:00:00,189.261,189.378,189.138,189.176,5944
2024.02.19,11:00:00,189.174,189.261,188.991,189.133,5882
2024.02.19,12:00:00,189.133,189.251,189.054,189.226,5414
2024.02.19,13:00:00,189.224,189.291,189.135,189.139,4449
2024.02.19,14:00:00,189.14,189.176,189.091,189.13,2995
2024.02.19,15:00:00,189.13,189.161,188.92,188.939,4346
2024.02.19,16:00:00,188.939,188.993,188.892,188.958,3459
2024.02.19,17:00:00,188.959,189.097,188.909,189.002,3782
2024.02.19,18:00:00,189.005,189.049,188.966,188.971,1944
2024.02.19,19:00:00,188.971,189.119,188.966,189.091,1902
2024.02.19,20:00:00,189.092,189.178,189.061,189.129,1110
2024.02.19,21:00:00,189.13,189.17,189.107,189.127,1051
2024.02.19,22:00:00,189.126,189.145,189.098,189.123,492
2024.02.19,23:00:00,189.122,189.172,189.018,189.018,1155
2024.02.20,0:00:00,189.009,189.141,188.937,189.069,1324
2024.02.20,1:00:00,189.069,189.152,189.016,189.141,2783
2024.02.20,2:00:00,189.141,189.198,189.073,189.144,5684
2024.02.20,3:00:00,189.144,189.201,189.064,189.094,7254
2024.02.20,4:00:00,189.096,189.226,189.064,189.148,5662
2024.02.20,5:00:00,189.15,189.21,189.12,189.162,3835
2024.02.20,6:00:00,189.163,189.214,189.14,189.197,3753
2024.02.20,7:00:00,189.197,189.263,189.19,189.248,4123
2024.02.20,8:00:00,189.249,189.307,189.232,189.277,5685
2024.02.20,9:00:00,189.277,189.373,189.175,189.295,6279
2024.02.20,10:00:00,189.295,189.354,189.12,189.212,7280
2024.02.20,11:00:00,189.212,189.488,189.168,189.386,6332
2024.02.20,12:00:00,189.384,189.496,189.273,189.317,7301
2024.02.20,13:00:00,189.316,189.332,189.082,189.125,6445
2024.02.20,14:00:00,189.126,189.226,189.068,189.17,7097
2024.02.20,15:00:00,189.171,189.654,189.165,189.611,9651
2024.02.20,16:00:00,189.61,189.713,189.501,189.504,9467
2024.02.20,17:00:00,189.502,189.686,189.393,189.655,10200
2024.02.20,18:00:00,189.655,189.677,189.398,189.454,7059
2024.02.20,19:00:00,189.454,189.463,189.305,189.384,5726
2024.02.20,20:00:00,189.384,189.395,189.287,189.319,5323
2024.02.20,21:00:00,189.316,189.33,189.187,189.3,6548
2024.02.20,22:00:00,189.3,189.386,189.288,189.313,3570
2024.02.20,23:00:00,189.313,189.335,189.275,189.322,3248
2024.02.21,0:00:00,189.324,189.324,189.166,189.269,1587
2024.02.21,1:00:00,189.281,189.347,189.199,189.319,2020
2024.02.21,2:00:00,189.317,189.415,189.267,189.376,4921
2024.02.21,3:00:00,189.379,189.466,189.359,189.396,5369
2024.02.21,4:00:00,189.396,189.468,189.352,189.372,5812
2024.02.21,5:00:00,189.372,189.409,189.334,189.386,4664
2024.02.21,6:00:00,189.387,189.486,189.347,189.481,4379
2024.02.21,7:00:00,189.483,189.514,189.416,189.474,4995
2024.02.21,8:00:00,189.476,189.491,189.357,189.421,4801
2024.02.21,9:00:00,189.418,189.641,189.356,189.629,8005
2024.02.21,10:00:00,189.631,189.659,189.327,189.337,7119
2024.02.21,11:00:00,189.337,189.337,189.141,189.282,6708
2024.02.21,12:00:00,189.283,189.344,189.211,189.309,5684
2024.02.21,13:00:00,189.311,189.317,189.156,189.317,4900
2024.02.21,14:00:00,189.315,189.359,189.16,189.273,5543
2024.02.21,15:00:00,189.274,189.465,189.272,189.45,7192
2024.02.21,16:00:00,189.451,189.565,189.344,189.474,6796
2024.02.21,17:00:00,189.477,189.568,189.4,189.489,6665
2024.02.21,18:00:00,189.489,189.754,189.43,189.678,7207
2024.02.21,19:00:00,189.677,189.708,189.581,189.614,6393
2024.02.21,20:00:00,189.615,189.787,189.55,189.712,7786
2024.02.21,21:00:00,189.708,189.807,189.641,189.719,9564
2024.02.21,22:00:00,189.719,189.794,189.652,189.741,4315
2024.02.21,23:00:00,189.743,189.924,189.71,189.92,4960
2024.02.22,0:00:00,189.925,189.994,189.771,189.939,1406
2024.02.22,1:00:00,189.947,190.029,189.893,189.989,2351
2024.02.22,2:00:00,189.989,190.204,189.985,190.173,5238
2024.02.22,3:00:00,190.173,190.219,189.965,189.981,6520
2024.02.22,4:00:00,189.981,190.103,189.904,190.095,4775
2024.02.22,5:00:00,190.095,190.1,190.019,190.088,2585
2024.02.22,6:00:00,190.088,190.107,189.891,189.955,3084
2024.02.22,7:00:00,189.956,190.028,189.91,190.022,4871
2024.02.22,8:00:00,190.021,190.062,189.945,190.005,4119
2024.02.22,9:00:00,190.005,190.293,189.992,190.27,6650
2024.02.22,10:00:00,190.267,190.826,190.247,190.723,8584
2024.02.22,11:00:00,190.723,190.807,190.24,190.348,8467
2024.02.22,12:00:00,190.347,190.522,190.274,190.389,6309
2024.02.22,13:00:00,190.388,190.475,190.253,190.471,6149
2024.02.22,14:00:00,190.47,190.584,190.391,190.543,5614
2024.02.22,15:00:00,190.542,190.557,190.103,190.13,9613
2024.02.22,16:00:00,190.128,190.14,189.858,189.989,10369
