Datetimetry,Date,Time,Open,High,Low,Close,Volume,MA_10
2024.08.15 10,2024.08.15,10:00:00,189.433,189.465,189.207,189.238,2098,189.18
2024.08.15 11,2024.08.15,11:00:00,189.233,189.447,189.184,189.338,2325,189.19
2024.08.15 12,2024.08.15,12:00:00,189.343,191.101,189.296,190.916,6247,189.37
2024.08.15 13,2024.08.15,13:00:00,190.921,191.418,190.854,191.342,6669,189.59
2024.08.15 14,2024.08.15,14:00:00,191.346,191.607,191.008,191.536,5151,189.83
2024.08.15 15,2024.08.15,15:00:00,191.531,191.662,191.477,191.526,3201,190.09
2024.08.15 16,2024.08.15,16:00:00,191.522,191.688,191.475,191.531,2118,190.33
2024.08.15 17,2024.08.15,17:00:00,191.536,191.701,191.426,191.674,1945,190.58
2024.08.15 18,2024.08.15,18:00:00,191.673,191.674,191.56,191.654,1563,190.82
2024.08.15 19,2024.08.15,19:00:00,191.649,191.669,191.474,191.571,1253,191.03
2024.08.15 20,2024.08.15,20:00:00,191.575,191.999,191.524,191.852,1224,191.29
2024.08.15 21,2024.08.15,21:00:00,191.749,191.888,191.747,191.872,911,191.55
2024.08.15 22,2024.08.15,22:00:00,191.865,191.881,191.526,191.828,1665,191.64
2024.08.15 23,2024.08.15,23:00:00,191.85,191.926,191.748,191.888,1590,191.69
2024.08.16 00,2024.08.16,0:00:00,191.892,191.921,191.509,191.839,3399,191.72
2024.08.16 01,2024.08.16,1:00:00,191.843,191.923,191.586,191.678,2911,191.74
2024.08.16 02,2024.08.16,2:00:00,191.683,191.756,191.472,191.656,2599,191.75
2024.08.16 03,2024.08.16,3:00:00,191.653,191.727,191.539,191.629,1836,191.75
2024.08.16 04,2024.08.16,4:00:00,191.624,191.729,191.539,191.618,1497,191.74
2024.08.16 05,2024.08.16,5:00:00,191.619,191.944,191.595,191.754,1778,191.76
2024.08.16 06,2024.08.16,6:00:00,191.752,191.953,191.725,191.908,2880,191.77
2024.08.16 07,2024.08.16,7:00:00,191.903,191.998,191.726,191.917,2795,191.77
2024.08.16 08,2024.08.16,8:00:00,191.918,191.99,191.565,191.62,3103,191.75
2024.08.16 09,2024.08.16,9:00:00,191.619,191.875,191.538,191.858,2692,191.75
2024.08.16 10,2024.08.16,10:00:00,191.859,191.872,191.432,191.494,2772,191.71
2024.08.16 11,2024.08.16,11:00:00,191.496,191.512,190.929,191.098,3629,191.66
2024.08.16 12,2024.08.16,12:00:00,191.095,191.206,190.423,190.463,4454,191.54
2024.08.16 13,2024.08.16,13:00:00,190.459,190.909,190.368,190.676,4583,191.44
2024.08.16 14,2024.08.16,14:00:00,190.667,191.057,190.667,190.779,4871,191.36
2024.08.16 15,2024.08.16,15:00:00,190.778,191.286,190.756,191.157,3066,191.30
2024.08.16 16,2024.08.16,16:00:00,191.16,191.326,191.138,191.218,2220,191.23
2024.08.16 17,2024.08.16,17:00:00,191.22,191.232,190.971,191.033,2031,191.14
2024.08.16 18,2024.08.16,18:00:00,191.036,191.179,190.99,191.135,1982,191.09
2024.08.16 19,2024.08.16,19:00:00,191.132,191.173,191.077,191.169,1538,191.02
2024.08.16 20,2024.08.16,20:00:00,191.174,191.174,190.966,191.042,1053,190.98
2024.08.18 21,2024.08.18,21:05:00,190.885,191.223,190.828,191.203,619,190.99
2024.08.18 22,2024.08.18,22:05:00,191.21,191.371,191.14,191.333,1390,191.07
2024.08.18 23,2024.08.18,23:05:00,191.329,191.6,191.312,191.545,961,191.16
2024.08.19 00,2024.08.19,0:00:00,191.552,191.616,191.248,191.348,2934,191.22
2024.08.19 01,2024.08.19,1:00:00,191.347,191.434,190.785,190.922,3244,191.19
2024.08.19 02,2024.08.19,2:00:00,190.919,191.169,190.825,190.871,1855,191.16
2024.08.19 03,2024.08.19,3:00:00,190.867,190.929,189.529,189.721,4586,191.03
2024.08.19 04,2024.08.19,4:00:00,189.716,189.946,188.962,189.349,3688,190.85
2024.08.19 05,2024.08.19,5:00:00,189.351,189.491,188.487,188.524,5081,190.59
2024.08.19 06,2024.08.19,6:00:00,188.52,189.079,188.232,189.074,5579,190.39
2024.08.19 07,2024.08.19,7:00:00,189.069,189.536,188.839,189.415,4630,190.21
2024.08.19 08,2024.08.19,8:00:00,189.41,189.622,189.195,189.477,3718,190.02
2024.08.19 09,2024.08.19,9:00:00,189.483,189.615,189.18,189.605,2700,189.83
2024.08.19 10,2024.08.19,10:00:00,189.604,189.909,189.445,189.512,2861,189.65
2024.08.19 11,2024.08.19,11:00:00,189.517,189.577,189.167,189.213,2854,189.48
2024.08.19 12,2024.08.19,12:00:00,189.216,189.417,189.021,189.353,2810,189.32
2024.08.19 13,2024.08.19,13:00:00,189.358,189.829,189.351,189.75,4015,189.33
2024.08.19 14,2024.08.19,14:00:00,189.755,190.264,189.531,190.068,5050,189.40
2024.08.19 15,2024.08.19,15:00:00,190.07,190.376,190.021,190.042,2998,189.55
2024.08.19 16,2024.08.19,16:00:00,190.045,190.223,189.971,190.168,1688,189.66
2024.08.19 17,2024.08.19,17:00:00,190.166,190.375,190.155,190.346,1308,189.75
2024.08.19 18,2024.08.19,18:00:00,190.34,190.566,190.285,190.531,1330,189.86
2024.08.19 19,2024.08.19,19:00:00,190.536,190.547,190.377,190.452,1099,189.94
2024.08.19 20,2024.08.19,20:00:00,190.455,190.489,190.374,190.411,590,190.03
2024.08.19 21,2024.08.19,21:00:00,190.376,190.446,190.272,190.373,443,190.15
2024.08.19 22,2024.08.19,22:00:00,190.337,190.42,190.292,190.386,483,190.25
2024.08.19 23,2024.08.19,23:00:00,190.449,190.76,190.433,190.563,1571,190.33
2024.08.20 00,2024.08.20,0:00:00,190.566,190.569,189.807,190.029,3894,190.33
2024.08.20 01,2024.08.20,1:00:00,190.033,190.282,189.468,190.024,4265,190.33
2024.08.20 02,2024.08.20,2:00:00,190.029,190.901,189.963,190.783,3539,190.39
2024.08.20 03,2024.08.20,3:00:00,190.779,190.993,190.569,190.867,2695,190.44
2024.08.20 04,2024.08.20,4:00:00,190.862,190.913,190.529,190.698,1976,190.46
2024.08.20 05,2024.08.20,5:00:00,190.704,191.194,190.69,191.161,2469,190.53
2024.08.20 06,2024.08.20,6:00:00,191.157,191.264,190.928,191.076,3179,190.60
2024.08.20 07,2024.08.20,7:00:00,191.078,191.185,190.165,190.558,4747,190.61
2024.08.20 08,2024.08.20,8:00:00,190.563,190.668,190.221,190.483,4322,190.62
2024.08.20 09,2024.08.20,9:00:00,190.481,190.577,190.221,190.474,2856,190.62
2024.08.20 10,2024.08.20,10:00:00,190.472,190.523,190.263,190.431,2488,190.66
2024.08.20 11,2024.08.20,11:00:00,190.432,190.636,190.287,190.386,2362,190.69
2024.08.20 12,2024.08.20,12:00:00,190.384,190.633,190.273,190.401,3342,190.65
2024.08.20 13,2024.08.20,13:00:00,190.406,190.488,190.166,190.325,3876,190.60
2024.08.20 14,2024.08.20,14:00:00,190.32,190.427,189.661,189.701,5115,190.50
2024.08.20 15,2024.08.20,15:00:00,189.705,189.844,189.562,189.78,3227,190.36
2024.08.20 16,2024.08.20,16:00:00,189.785,189.829,189.37,189.37,2409,190.19
2024.08.20 17,2024.08.20,17:00:00,189.372,189.492,189.217,189.444,1734,190.08
2024.08.20 18,2024.08.20,18:00:00,189.442,189.529,189.399,189.417,1345,189.97
2024.08.20 19,2024.08.20,19:00:00,189.419,189.5,189.351,189.374,1120,189.86
2024.08.20 20,2024.08.20,20:00:00,189.376,189.444,189.222,189.314,714,189.75
2024.08.20 21,2024.08.20,21:00:00,189.304,189.307,188.967,189.14,1108,189.63
2024.08.20 22,2024.08.20,22:00:00,189.091,189.141,188.852,189.097,1361,189.50
2024.08.20 23,2024.08.20,23:00:00,189.118,189.446,188.924,189.405,2827,189.40
2024.08.21 00,2024.08.21,0:00:00,189.401,189.685,188.955,189.576,3962,189.39
2024.08.21 01,2024.08.21,1:00:00,189.57,189.732,189.316,189.39,3882,189.35
2024.08.21 02,2024.08.21,2:00:00,189.395,189.506,189.225,189.409,2309,189.36
2024.08.21 03,2024.08.21,3:00:00,189.415,189.614,189.368,189.503,2089,189.36
2024.08.21 04,2024.08.21,4:00:00,189.498,189.854,189.387,189.749,1874,189.40
2024.08.21 05,2024.08.21,5:00:00,189.743,189.912,189.515,189.66,1988,189.42
2024.08.21 06,2024.08.21,6:00:00,189.664,190.037,189.535,189.988,3030,189.49
2024.08.21 07,2024.08.21,7:00:00,189.993,190.292,189.803,190.198,3772,189.60
2024.08.21 08,2024.08.21,8:00:00,190.201,190.274,189.926,190.023,2660,189.69
2024.08.21 09,2024.08.21,9:00:00,190.021,190.371,189.988,190.334,2241,189.78
2024.08.21 10,2024.08.21,10:00:00,190.331,190.699,190.275,190.613,2075,189.89
2024.08.21 11,2024.08.21,11:00:00,190.608,190.608,190.28,190.333,1994,189.98
2024.08.21 12,2024.08.21,12:00:00,190.327,190.327,190.111,190.157,2741,190.06
2024.08.21 13,2024.08.21,13:00:00,190.152,190.216,189.802,190.17,3864,190.12
