Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
RESISTANCE_978,2025-01-16 12,2025-01-16 12:00:00,190.2,190.527,190.163,190.399,3866,190.3874
RESISTANCE_978,2025-01-16 13,2025-01-16 13:00:00,190.394,190.496,190.059,190.158,5525,190.3586
RESISTANCE_979,2025-01-16 16,2025-01-16 16:00:00,190.145,190.317,189.878,190.287,5628,190.2556
RESISTANCE_979,2025-01-16 17,2025-01-16 17:00:00,190.291,190.489,189.953,189.994,4223,190.172
RESISTANCE_980,2025-01-17 02,2025-01-17 02:00:00,189.86,190.219,189.848,190.136,3084,189.9406
RESISTANCE_980,2025-01-17 03,2025-01-17 03:00:00,190.138,190.201,190.004,190.153,2505,189.9565
RESISTANCE_981,2025-01-17 10,2025-01-17 10:00:00,189.93,190.145,189.846,190.029,3406,189.9402
RESISTANCE_981,2025-01-17 11,2025-01-17 11:00:00,190.024,190.169,189.853,189.887,3632,189.9425
RESISTANCE_982,2025-01-17 15,2025-01-17 15:00:00,190.264,190.595,190.179,190.402,5724,189.9281
RESISTANCE_982,2025-01-17 16,2025-01-17 16:00:00,190.398,190.584,190.27,190.351,4233,189.9509
RESISTANCE_983,2025-01-17 21,2025-01-17 21:00:00,190.019,190.191,189.983,190.168,1648,190.096
RESISTANCE_983,2025-01-20 00,2025-01-20 00:00:00,190.303,190.439,190.055,190.066,3268,190.1257
RESISTANCE_984,2025-01-20 06,2025-01-20 06:00:00,190.549,190.853,190.449,190.797,2847,190.2285
RESISTANCE_984,2025-01-20 07,2025-01-20 07:00:00,190.801,190.869,190.485,190.549,3429,190.2839
RESISTANCE_985,2025-01-20 13,2025-01-20 13:00:00,190.746,191.65,190.563,191.509,12755,190.6678
RESISTANCE_985,2025-01-20 14,2025-01-20 14:00:00,191.504,191.584,191.182,191.424,8067,190.7713
RESISTANCE_986,2025-01-20 14,2025-01-20 14:00:00,191.504,191.584,191.182,191.424,8067,190.7713
RESISTANCE_986,2025-01-20 15,2025-01-20 15:00:00,191.419,191.65,191.289,191.373,5399,190.8536
RESISTANCE_987,2025-01-20 19,2025-01-20 19:00:00,191.567,191.983,191.567,191.975,2647,191.2814
RESISTANCE_987,2025-01-20 20,2025-01-20 20:00:00,191.98,192.009,191.791,191.821,3021,191.4023
RESISTANCE_988,2025-01-21 07,2025-01-21 07:00:00,190.707,191.132,190.565,190.961,4816,190.9904
RESISTANCE_988,2025-01-21 08,2025-01-21 08:00:00,190.957,190.987,190.671,190.891,4638,190.9021
RESISTANCE_989,2025-01-21 10,2025-01-21 10:00:00,190.943,191.095,190.821,191.046,4029,190.8285
RESISTANCE_989,2025-01-21 11,2025-01-21 11:00:00,191.051,191.071,190.706,190.764,3946,190.8119
RESISTANCE_990,2025-01-21 23,2025-01-21 23:00:00,191.962,192.215,191.828,192.12,2725,191.7226
RESISTANCE_990,2025-01-22 00,2025-01-22 00:00:00,192.147,192.222,191.866,191.955,4539,191.8131
RESISTANCE_991,2025-01-22 05,2025-01-22 05:00:00,192.3,192.416,192.265,192.34,2558,192.1094
RESISTANCE_991,2025-01-22 06,2025-01-22 06:00:00,192.342,192.363,191.959,192.072,3646,192.1283
RESISTANCE_992,2025-01-22 10,2025-01-22 10:00:00,192.475,192.743,192.404,192.636,3904,192.2564
RESISTANCE_992,2025-01-22 11,2025-01-22 11:00:00,192.637,192.729,192.498,192.593,3251,192.3164
RESISTANCE_993,2025-01-22 12,2025-01-22 12:00:00,192.592,192.743,192.492,192.512,3598,192.3554
RESISTANCE_993,2025-01-22 13,2025-01-22 13:00:00,192.517,192.753,192.379,192.447,4187,192.3721
RESISTANCE_994,2025-01-22 16,2025-01-22 16:00:00,192.645,192.999,192.549,192.976,4051,192.525
RESISTANCE_994,2025-01-22 17,2025-01-22 17:00:00,192.974,193.001,192.827,192.963,3223,192.5992
RESISTANCE_995,2025-01-23 05,2025-01-23 05:00:00,192.908,192.998,192.905,192.919,2840,192.7022
RESISTANCE_995,2025-01-23 06,2025-01-23 06:00:00,192.923,192.973,192.708,192.757,3225,192.6984
RESISTANCE_996,2025-01-23 10,2025-01-23 10:00:00,192.606,192.745,192.387,192.683,3066,192.7044
RESISTANCE_996,2025-01-23 11,2025-01-23 11:00:00,192.687,192.879,192.589,192.679,3040,192.7007
RESISTANCE_997,2025-01-23 14,2025-01-23 14:00:00,192.485,192.747,192.438,192.637,4133,192.6483
RESISTANCE_997,2025-01-23 15,2025-01-23 15:00:00,192.642,192.716,192.396,192.447,4266,192.6011
RESISTANCE_998,2025-01-23 17,2025-01-23 17:00:00,192.601,192.927,192.593,192.892,3727,192.6047
RESISTANCE_998,2025-01-23 18,2025-01-23 18:00:00,192.893,192.895,192.701,192.786,2994,192.6418
RESISTANCE_999,2025-01-24 02,2025-01-24 02:00:00,193.11,193.51,193.104,193.377,4444,192.8744
RESISTANCE_999,2025-01-24 03,2025-01-24 03:00:00,193.373,193.706,192.533,192.688,7688,192.854
RESISTANCE_1000,2025-01-24 06,2025-01-24 06:00:00,192.627,193.294,192.24,192.629,8748,192.8144
RESISTANCE_1000,2025-01-24 07,2025-01-24 07:00:00,192.632,192.774,192.326,192.467,7261,192.7884
RESISTANCE_1001,2025-01-24 18,2025-01-24 18:00:00,194.485,194.739,194.471,194.62,2991,194.1429
RESISTANCE_1001,2025-01-24 19,2025-01-24 19:00:00,194.618,194.65,194.44,194.5,2733,194.2586
RESISTANCE_1002,2025-01-24 21,2025-01-24 21:00:00,194.631,194.738,194.586,194.685,1723,194.4321
RESISTANCE_1002,2025-01-27 00,2025-01-27 00:00:00,193.998,194.089,193.618,193.716,3508,194.3895
RESISTANCE_1003,2025-01-27 05,2025-01-27 05:00:00,194.253,194.259,194.067,194.246,2881,194.2021
RESISTANCE_1003,2025-01-27 06,2025-01-27 06:00:00,194.243,194.637,194.217,194.23,3633,194.1631
RESISTANCE_1004,2025-01-27 13,2025-01-27 13:00:00,192.741,193.135,192.606,192.792,5789,193.3089
RESISTANCE_1004,2025-01-27 14,2025-01-27 14:00:00,192.797,193.018,192.51,192.959,5789,193.18
RESISTANCE_1005,2025-01-27 20,2025-01-27 20:00:00,193.019,193.265,192.978,193.054,3237,192.7066
RESISTANCE_1005,2025-01-27 21,2025-01-27 21:00:00,193.055,193.208,193.019,193.098,1762,192.7761
RESISTANCE_1006,2025-01-28 04,2025-01-28 04:00:00,193.736,193.959,193.723,193.863,3063,193.3113
RESISTANCE_1006,2025-01-28 05,2025-01-28 05:00:00,193.859,193.926,193.731,193.759,2600,193.3848
RESISTANCE_1007,2025-01-28 08,2025-01-28 08:00:00,193.843,193.969,193.44,193.608,4814,193.5857
RESISTANCE_1007,2025-01-28 09,2025-01-28 09:00:00,193.603,194.021,193.328,193.498,5027,193.6505
RESISTANCE_1008,2025-01-28 15,2025-01-28 15:00:00,193.004,193.613,192.969,193.58,4856,193.3918
RESISTANCE_1008,2025-01-28 16,2025-01-28 16:00:00,193.577,193.768,193.34,193.467,4192,193.3595
RESISTANCE_1009,2025-01-28 19,2025-01-28 19:00:00,193.504,193.597,193.357,193.529,2701,193.3074
RESISTANCE_1009,2025-01-28 20,2025-01-28 20:00:00,193.529,193.579,193.411,193.452,2343,193.3185
RESISTANCE_1010,2025-01-29 02,2025-01-29 02:00:00,193.639,193.753,193.571,193.676,2500,193.5178
RESISTANCE_1010,2025-01-29 03,2025-01-29 03:00:00,193.672,193.672,193.357,193.46,2631,193.5251
RESISTANCE_1011,2025-01-29 06,2025-01-29 06:00:00,193.051,193.5,193.051,193.342,3691,193.4535
RESISTANCE_1011,2025-01-29 07,2025-01-29 07:00:00,193.338,193.51,193.234,193.306,4713,193.4365
RESISTANCE_1012,2025-01-29 11,2025-01-29 11:00:00,192.919,193.11,192.855,193.018,3092,193.2079
RESISTANCE_1012,2025-01-29 12,2025-01-29 12:00:00,193.014,193.089,192.881,193.032,3318,193.1435
RESISTANCE_1013,2025-01-29 19,2025-01-29 19:00:00,193.096,193.346,192.98,193.184,6996,192.9081
RESISTANCE_1013,2025-01-29 20,2025-01-29 20:00:00,193.18,193.319,193.124,193.215,4538,192.9382
RESISTANCE_1014,2025-01-29 23,2025-01-29 23:00:00,193.139,193.245,193.027,193.245,2227,193.0076
RESISTANCE_1014,2025-01-30 00,2025-01-30 00:00:00,193.267,193.287,192.603,192.687,4259,193.021
RESISTANCE_1015,2025-01-30 08,2025-01-30 08:00:00,192.371,192.586,192.314,192.4,4456,192.4614
RESISTANCE_1015,2025-01-30 09,2025-01-30 09:00:00,192.401,192.411,192.052,192.174,4295,192.3543
RESISTANCE_1016,2025-01-30 16,2025-01-30 16:00:00,192.152,192.42,192.033,192.259,4368,192.1101
RESISTANCE_1016,2025-01-30 17,2025-01-30 17:00:00,192.263,192.272,191.938,192.005,3679,192.0739
RESISTANCE_1017,2025-01-31 07,2025-01-31 07:00:00,192.269,192.372,192.156,192.299,4443,191.7461
RESISTANCE_1017,2025-01-31 08,2025-01-31 08:00:00,192.304,192.463,191.879,191.905,4475,191.7968
RESISTANCE_1018,2025-01-31 12,2025-01-31 12:00:00,192.148,192.379,192.091,192.295,3336,192.0753
RESISTANCE_1018,2025-01-31 13,2025-01-31 13:00:00,192.298,192.55,192.079,192.152,4900,192.1249
RESISTANCE_1019,2025-01-31 16,2025-01-31 16:00:00,192.358,193.021,192.26,192.796,4536,192.1796
RESISTANCE_1019,2025-01-31 17,2025-01-31 17:00:00,192.799,193.022,192.637,192.733,5866,192.223
RESISTANCE_1020,2025-02-03 08,2025-02-03 08:00:00,191.162,191.564,191.038,191.294,5807,191.1591
RESISTANCE_1020,2025-02-03 09,2025-02-03 09:00:00,191.299,191.36,190.504,190.537,4766,190.9849
RESISTANCE_1021,2025-02-03 15,2025-02-03 15:00:00,190.874,192.253,190.022,192.035,15533,191.0073
RESISTANCE_1021,2025-02-03 16,2025-02-03 16:00:00,192.031,192.3,191.576,191.593,8771,191.0742
RESISTANCE_1022,2025-02-03 23,2025-02-03 23:00:00,192.456,193.101,192.456,193.013,2864,192.023
